Id,Name,Lender,LenderProductName,ProductDetails,VariableRate,FixedRate,FixedPeriod,IntroDiscRate,IntroDiscPeriod,ApplicationFees,DischargeFees,OngoingFees,OngoingFeesCycle,ValuationFees,LendersLegalFees,LendersSettlementFees,Min Loan Amount,Max Loan Amount,LVROOPurchaseMin,LVROOPurchaseMax,LVROOSecurityMin,LVROOSecurityMax,LVRINVPurchaseMin,LVRINVPurchaseMax,LVRINVSecurityMin,LVRINVSecurityMax,LVRLandMin,LVRLandMax,OwnerOccupied,Investment,RepaymentOption,GenuineSavingsMin,ACT,NSW,TAS,QLD,VIC,SA,WA,NT,StandardVariable,Fixed,InterestInAdvance,ReverseMortgage,Basic,NoDoc,LowDoc,Equity,Intro,CreditImpaired,Professional Pack,Min Loan Term,Max Loan Term,RateDetails,FeeDetails,AutoAppvdCCard,BpayAccess,DebitCardAvailable,DirectCreditAccess,DirectDebitAccess,EFTPOSAccess,GiroPostAustPostAccess,InternetBanking,LOCCreditCardAutoSweep,MortgageOffsetAvailable,PhoneTransferAccess,RedrawDetails,RedrawFacility,TransactionAccountAvailable,EarlyRepayBreakCostDetails,EarlyRepaymentBreakCosts,LMIAvailable,LMICapitalisationMaxLVR,RateLockAvailable,BridgingAvailable,Construction,SelfManagedSuperfund,InterestCapitalisation,InterestCapitalisationDetails,RepaymentsCanMakeExtra,RepaymentsFortnightly,RepaymentsMonthly,RepaymentsWeekly,SalaryDirectAvailable,Portability,SplitAvailable,SplitDetails,ComparisonRate
1-9ZA5IF,Simplicity Plus Lo Doc 60,ANZ,Simplicity Plus Lo Doc 60,Owner Occupied Only,4.71,,,,,0,160,0,Annually,0,0,0,50000,,0,60,0,60,0,60,0,60,0,60,Y,Y,Principal & Interest,5%,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,0,30,,Discharge may incur additional fees.  $600 application fee waiver until further notice,N,N,N,Y,N,N,N,Y,N,N,Y,"No Fee, $2000 minimum",Y,N,N/A,Y,N,N,N,N,Y,,N,N/A,Y,Y,Y,Y,N,Y,Y,Available. Refer to lender.,
1-P7NR1X,Advantage Full Doc <55% LVR,Pepper Money,Flexi Advantage,"The Pepper Advantage suite is designed for customers who, due to restrictive credit criteria, are unable to meet the lending criteria of banks and mortgage insurers. With Pepper Advantage we assess each borrowers unique circumstances, rather than simply basing our decision on a credit score. Purchase or refinance of owner occupied and investment properties, also includes; unlimited debt consolidation, cash out for acceptable purposes and payment of ATO debts. Minor defaults up to $1,000 accepted. Unlimited defaults > $1,000, registered > 12 months (paid or unpaid). < 1 months mortgage arrears (within last 6 months). Discharged from bankruptcy (1 day accepted)",5.59,,,,,995,250,15,Monthly,0,440,0,50000,2500000,0,55,0,55,0,55,0,55,0,0,Y,Y,Both,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,10,40,,Mortgage Risk Fee - 0.65% of amount advanced (0.50% MRF loading for loans >$1m). Title Protection Fee $400. Legal Fees from $440 plus disbursements. Estab Fee includes 1 standard valuation (Approx value $395),N,Y,Y,Y,Y,Y,N,Y,N,Y,N,MIn manual redraw $1000. Min online redraw $50,Y,N,N/A,N,N,N,N,N,N,,N,N/A,Y,Y,Y,Y,Y,Y,Y,Max 3 splits (inc 100% interest offset sub-account),5.96
1-1TTHC1R,Advantage Full Doc 90%-95% LVR,Pepper Money,Flexi Advantage,"The Pepper Advantage suite is designed for customers who, due to restrictive credit criteria, are unable to meet the lending criteria of banks and mortgage insurers. With Pepper Advantage we assess each borrowers unique circumstances, rather than simply basing our decision on a credit score. Purchase or refinance of owner occupied and investment properties, also includes; unlimited debt consolidation, cash out for acceptable purposes and payment of ATO debts. Minor defaults up to $1,000 accepted. Unlimited defaults > $1,000, registered > 12 months (paid or unpaid). < 1 months mortgage arrears (within last 6 months). Discharged from bankruptcy (1 day accepted)",8.19,,,,,995,250,15,Monthly,0,440,0,50000,650000,90.01,95,0,0,90.01,95,0,0,0,0,Y,Y,Both,0%,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,10,40,Purchase only. Not available for refinances.,Mortgage Risk Fee - 2.00% of amount advanced Title Protection Fee $400. Legal Fees from $440 plus disbursements. Estab Fee includes 1 standard valuation (Approx value $395),N,Y,Y,Y,Y,Y,N,Y,N,Y,N,MIn manual redraw $1000. Min online redraw $50,Y,N,N/A,N,N,N,N,N,N,,N,N/A,Y,Y,Y,Y,Y,Y,Y,Max 3 splits (inc 100% interest offset sub-account),8.73
1-KHVKPH,Advantage Full Doc 85%-90% LVR,Pepper Money,Flexi Advantage,"The Pepper Advantage suite is designed for customers who, due to restrictive credit criteria, are unable to meet the lending criteria of banks and mortgage insurers. With Pepper Advantage we assess each borrowers unique circumstances, rather than simply basing our decision on a credit score. Purchase or refinance of owner occupied and investment properties, also includes; unlimited debt consolidation, cash out for acceptable purposes and payment of ATO debts. Minor defaults up to $1,000 accepted. Unlimited defaults > $1,000, registered > 12 months (paid or unpaid). < 1 months mortgage arrears (within last 6 months). Discharged from bankruptcy (1 day accepted)",7.99,,,,,995,250,15,Monthly,0,440,0,50000,750000,85,90,0,0,85,90,0,0,0,0,Y,Y,Both,0%,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,10,40,Purchase only. Not available for refinances.,Mortgage Risk Fee - 2.00% of amount advanced. Title Protection Fee $400. Legal Fees from $440 plus disbursements. Estab Fee includes 1 standard valuation (Approx value $395),N,Y,Y,Y,Y,Y,N,Y,N,Y,N,MIn manual redraw $1000. Min online redraw $50,Y,N,N/A,N,N,N,N,N,N,,N,N/A,Y,Y,Y,Y,Y,Y,Y,Max 3 splits (inc 100% interest offset sub-account),8.53
1-IQMZQ1,Advantage Full Doc 80%-85% LVR,Pepper Money,Flexi Advantage,"The Pepper Advantage suite is designed for customers who, due to restrictive credit criteria, are unable to meet the lending criteria of banks and mortgage insurers. With Pepper Advantage we assess each borrowers unique circumstances, rather than simply basing our decision on a credit score. Purchase or refinance of owner occupied and investment properties, also includes; unlimited debt consolidation, cash out for acceptable purposes and payment of ATO debts. Minor defaults up to $1,000 accepted. Unlimited defaults > $1,000, registered > 12 months (paid or unpaid). < 1 months mortgage arrears (within last 6 months). Discharged from bankruptcy (1 day accepted)",7.3,,,,,995,250,15,Monthly,0,440,0,50000,750000,80,85,80,85,80,85,80,85,0,0,Y,Y,Both,0%,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,10,40,,Mortgage Risk Fee - 2.00% of amount advanced. Title Protection Fee $400. Legal Fees from $440 plus disbursements. Estab Fee includes 1 standard valuation (Approx value $395),N,Y,Y,Y,Y,Y,N,Y,N,Y,N,MIn manual redraw $1000. Min online redraw $50,Y,N,N/A,N,N,N,N,N,N,,N,N/A,Y,Y,Y,Y,Y,Y,Y,Max 3 splits (inc 100% interest offset sub-account),7.83
1-FXTWX8,Advantage Full Doc 75%-80% LVR,Pepper Money,Flexi Advantage,"The Pepper Advantage suite is designed for customers who, due to restrictive credit criteria, are unable to meet the lending criteria of banks and mortgage insurers. With Pepper Advantage we assess each borrowers unique circumstances, rather than simply basing our decision on a credit score. Purchase or refinance of owner occupied and investment properties, also includes; unlimited debt consolidation, cash out for acceptable purposes and payment of ATO debts. Minor defaults up to $1,000 accepted. Unlimited defaults > $1,000, registered > 12 months (paid or unpaid). < 1 months mortgage arrears (within last 6 months). Discharged from bankruptcy (1 day accepted)",6.95,,,,,995,250,15,Monthly,0,440,0,50000,1250000,75,80,75,80,75,80,75,80,0,0,Y,Y,Both,0%,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,10,40,,Mortgage Risk Fee - 1.50% of amount advanced (0.50% MRF loading for loans >$1m). Title Protection Fee $400. Legal Fees from $440 plus disbursements. Estab Fee includes 1 standard valuation (Approx value $395) Application fee and Tilre protection fee ($400) waived for a limited time,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,MIn manual redraw $1000. Min online redraw $50,Y,N,N/A,N,N,N,N,N,N,,N,N/A,Y,Y,Y,Y,Y,Y,Y,Max 3 splits (inc 100% interest offset sub-account),7.42
1-FXTWWL,Advantage Full Doc 70%-75% LVR,Pepper Money,Flexi Advantage,"The Pepper Advantage suite is designed for customers who, due to restrictive credit criteria, are unable to meet the lending criteria of banks and mortgage insurers. With Pepper Advantage we assess each borrowers unique circumstances, rather than simply basing our decision on a credit score. Purchase or refinance of owner occupied and investment properties, also includes; unlimited debt consolidation, cash out for acceptable purposes and payment of ATO debts. Minor defaults up to $1,000 accepted. Unlimited defaults > $1,000, registered > 12 months (paid or unpaid). < 1 months mortgage arrears (within last 6 months). Discharged from bankruptcy (1 day accepted)",6.75,,,,,995,250,15,Monthly,0,440,0,50000,1750000,70,75,70,75,70,75,70,75,0,0,Y,Y,Both,0%,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,10,40,,Mortgage Risk Fee - 1.25% of amount advanced (0.50% MRF loading for loans >$1m). Title Protection Fee $400. Legal Fees from $440 plus disbursements. Estab Fee includes 1 standard valuation (Approx value $395),N,Y,Y,Y,Y,Y,N,Y,N,Y,N,MIn manual redraw $1000. Min online redraw $50,Y,N,N/A,N,N,N,N,N,N,,N,N/A,Y,Y,Y,Y,Y,Y,Y,Max 3 splits (inc 100% interest offset sub-account),7.19
1-GYFT1I,Advantage Full Doc 65%-70% LVR,Pepper Money,Flexi Advantage,"The Pepper Advantage suite is designed for customers who, due to restrictive credit criteria, are unable to meet the lending criteria of banks and mortgage insurers. With Pepper Advantage we assess each borrowers unique circumstances, rather than simply basing our decision on a credit score. Purchase or refinance of owner occupied and investment properties, also includes; unlimited debt consolidation, cash out for acceptable purposes and payment of ATO debts. Minor defaults up to $1,000 accepted. Unlimited defaults > $1,000, registered > 12 months (paid or unpaid). < 1 months mortgage arrears (within last 6 months). Discharged from bankruptcy (1 day accepted)",6.29,,,,,995,250,15,Monthly,0,440,0,50000,2000000,65,70,65,70,65,70,65,70,0,0,Y,Y,Both,0%,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,10,40,,Mortgage Risk Fee - 1.00% of amount advanced (0.50% MRF loading for loans >$1m). Title Protection Fee $400. Legal Fees from $440 plus disbursements. Estab Fee includes 1 standard valuation (Approx value $395),N,Y,Y,Y,Y,Y,N,Y,N,Y,N,MIn manual redraw $1000. Min online redraw $50,Y,N,N/A,N,N,N,N,N,N,,N,N/A,Y,Y,Y,Y,Y,Y,Y,Max 3 splits (inc 100% interest offset sub-account),6.7
1-IQMY3J,Advantage Full Doc 55%-65% LVR,Pepper Money,Flexi Advantage,"The Pepper Advantage suite is designed for customers who, due to restrictive credit criteria, are unable to meet the lending criteria of banks and mortgage insurers. With Pepper Advantage we assess each borrowers unique circumstances, rather than simply basing our decision on a credit score. Purchase or refinance of owner occupied and investment properties, also includes; unlimited debt consolidation, cash out for acceptable purposes and payment of ATO debts. Minor defaults up to $1,000 accepted. Unlimited defaults > $1,000, registered > 12 months (paid or unpaid). < 1 months mortgage arrears (within last 6 months). Discharged from bankruptcy (1 day accepted)",5.69,,,,,995,250,15,Monthly,0,440,0,50000,2500000,55,65,55,65,55,65,55,65,0,0,Y,Y,Both,0%,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,10,40,,Mortgage Risk Fee - 0.65% of amount advanced (0.50% MRF loading for loans >$1m). Title Protection Fee $400. Legal Fees from $440 plus disbursements. Estab Fee includes 1 standard valuation (Approx value $395),N,Y,Y,Y,Y,Y,N,Y,N,Y,N,MIn manual redraw $1000. Min online redraw $50,Y,N,N/A,N,N,N,N,N,N,,N,N/A,Y,Y,Y,Y,Y,Y,Y,Max 3 splits (inc 100% interest offset sub-account),6.06
1-1BCND8E,Lo Doc 60 Breakfree Variable $500k+ Owner Occupied,ANZ,Lo Doc Breakfree Variable,,4.46,,,,,0,160,395,Annually,0,0,0,500000,2500000,0,60,0,60,0,0,0,0,0,0,Y,N,Principal & Interest,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,1,30,Special Offer 0.90% discount (already included) normally 0.70%. Available for an increase of $100k or more with a total lending of >$250k or new lending > $250k under Breakfree.,Discharge may incur additional fees. One free Mortgage re-negotiation per year-(eg switching from variable to fixed). Breakfree Package holders are entitled to recieve 3 waivers of the val admin fee per annum per package,N,Y,N,Y,N,N,N,Y,N,Y,Y,N/A,N,N,N/A,Y,Y,N,N,N,Y,,N,N/A,Y,Y,Y,Y,Y,Y,Y,"$0 - up to 5 ANZ HL, RIL and Equity Facs available if no prior accounts held.",
